Question,Answer,Score,Correct_Reference
What is an algorithm?,An algorithm is a set of steps that you follow in order to solve a problem or do some task on data.,2,A step-by-step procedure or formula for solving a problem.
What is a data structure?,A data structure is how data is saved in the computer so the algorithm can use it faster or easier.,2,A specialized format for organizing and storing data.
Explain time complexity.,Time complexity means how fast the program runs on my computer.,0,The computational complexity that describes the amount of time it takes to run an algorithm as a function of the length of the input.
Explain Big-O notation.,"Big-O tells us how the running time grows when the input is getting bigger, ignoring small details.",2,A mathematical notation that describes the limiting behavior of a function when the argument tends towards a particular value or infinity.
What is space complexity?,"Space complexity is how much memory the algorithm needs while it runs, depending on the input size.",2,The amount of memory space required by an algorithm in relation to the input size.
What is an array?,An array is a list of values saved one after another in memory.,2,A collection of elements identified by index or key stored in contiguous memory.
Why is accessing an array element fast?,Because arrays are saved in order so the computer knows directly where each element is.,2,Due to contiguous memory and O(1) random access via index calculation.
Cost of inserting in the middle of an array?,It is O(1) because you just put the value there.,0,O(n) because elements must be shifted to make room for the new element.
What is a dynamic array?,A dynamic array is an array that increases its size when it becomes full.,2,An array that automatically resizes itself when it reaches capacity.
Why is resizing expensive?,Because all the values must be copied to a new bigger array.,2,Requires allocating a new larger block of memory and copying all existing elements.
What is a linked list?,A linked list is like an array but each element points to the next one.,1,A linear collection of data elements called nodes where each node points to the next.
Advantage of linked lists?,You can add elements easily without moving all the others.,2,Dynamic size and O(1) insertion/deletion at known positions.
Disadvantage of linked lists?,You cannot jump to an element by index like in arrays.,2,Sequential access only; O(n) time to access an element by index.
What is a stack?,A stack is a structure where the last element you put in is the first you take out.,2,A Last-In-First-Out (LIFO) data structure.
Give a use of stacks.,Stacks are used in recursion to remember function calls.,2,Undo mechanisms; expression evaluation; backtracking.
What is a queue?,"A queue works like a line, first element in is the first out.",2,A First-In-First-Out (FIFO) data structure.
What is a deque?,Deque is a queue where you can add and remove from both sides.,2,A double-ended queue.
What is a binary tree?,A binary tree is a tree that has exactly two children.,0,A tree data structure in which each node has at most two children.
What is a binary search tree?,In a BST the left son is smaller and the right son is bigger than the parent.,2,A binary tree where the left subtree has values less than the parent and the right subtree has values greater.
Average search time in a balanced BST?,The search time is log n because the tree height is small.,2,O(log n) because the search space is halved at each step.
What is tree height?,Height is the number of nodes in the tree.,0,The number of edges on the longest path from the root to a leaf.
